CpG_id	Symbol	Description
cg20651453	MAP3K6	mitogen-activated protein kinase kinase kinase 6
cg20651681	GRB10	growth factor receptor-bound protein 10 isoform a
cg20652640	ZFPM1	friend of GATA-1
cg20652889	UNC84B	unc-84 homolog B
cg20654468	LPXN	leupaxin
cg20655010	C2orf34	hypothetical protein LOC79823
cg20655558	DNAJB7	DnaJ (Hsp40) homolog; subfamily B; member 7
cg20656116	CD59	CD59 antigen p18-20
cg20657383	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 isoform 1 precursor
cg20657421	CCL4	chemokine C-C motif ligand 4 precursor
cg20661303	LEFTY2	endometrial bleeding associated factor preproprotein
cg20663831	GIMAP2	GTPase; IMAP family member 2
cg20663980	CDX4	caudal type homeo box transcription factor 4
cg20664201	INHBE	activin beta E
cg20664247	PEX10	peroxisome biogenesis factor 10 isoform 2
cg20668607	DNAJC11	DnaJ (Hsp40) homolog; subfamily C; member 11
cg20669525	GPAA1	anchor attachment protein 1
cg20670302	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
cg20672044	HPR	haptoglobin-related protein
cg20672744	ERICH1	hypothetical protein LOC157697
cg20673075	STK3	serine/threonine kinase 3 (STE20 homolog; yeast)
cg20673481	KCNS3	potassium voltage-gated channel delayed-rectifier protein S3
cg20673611	TM7SF3	transmembrane 7 superfamily member 3
cg20674521	KCNJ4	potassium inwardly-rectifying channel J4
cg20674577	PHACTR3	phosphatase and actin regulator 3 isoform 2
cg20675440	COG8	component of oligomeric golgi complex 8
cg20676303	GAGE7B	G antigen 7B
cg20676475	LCE3D	late cornified envelope 3D
cg20676542	TRIM25	tripartite motif-containing 25
cg20678353	FLJ35695	hypothetical protein LOC400359
cg20681975	TNRC5	trinucleotide repeat containing 5 isoform 1
cg20683151	TM4SF20	transmembrane 4 L six family member 20
cg20684399	PHF2	PHD finger protein 2 isoform b
cg20684549	PRG2	plasticity-related protein 2
cg20684973	TAF5	TBP-associated factor 5 isoform 6
cg20687462	MGC10992	hypothetical protein LOC92922
cg20688340	MMP21	matrix metalloproteinase 21 preproprotein
cg20691408	FADS3	fatty acid desaturase 3
cg20691580	APOC3	apolipoprotein C-III precursor
cg20692181	RETN	resistin
cg20692569	FZD9	frizzled 9
cg20693880	PSMB6	proteasome beta 6 subunit
cg20695057	TP53BP2	tumor protein p53 binding protein; 2 isoform 2
cg20695562	USP33	ubiquitin specific protease 33 isoform 3
cg20695587	TMPRSS11F	transmembrane protease; serine 11F
cg20696985	SHF	hypothetical protein LOC90525
cg20697204	FLJ40172	hypothetical protein LOC285051
cg20699736	VAX2	ventral anterior homeobox 2
cg20700904	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 isoform a
cg20701850	RECQL	RecQ protein-like isoform 1
cg20702327	CSNK2A1	casein kinase II alpha 1 subunit isoform a
cg20707333	C20orf177	hypothetical protein LOC63939
cg20707345	ACD	adrenocortical dysplasia homolog
cg20708411	CSNK1G3	casein kinase 1; gamma 3 isoform 1
cg20712430	KREMEN2	kringle-containing transmembrane protein 2 isoform b precursor
cg20713333	RG9MTD2	RNA (guanine-9-) methyltransferase domain containing 2
cg20713492	AQP10	aquaporin 10
cg20714328	THBS4	thrombospondin 4 precursor
cg20715219	DDX17	DEAD box polypeptide 17 isoform p82
cg20715764	ZNF264	zinc finger protein 264
cg20716064	USP6NL	USP6 N-terminal like isoform 2
cg20716119	CDH1	cadherin 1; type 1 preproprotein
cg20716209	STAT3	signal transducer and activator of transcription 3 isoform 1
cg20716571	WDR37	WD repeat domain 37
cg20716945	USP38	ubiquitin specific protease 38
cg20717059	C8orf13	hypothetical protein LOC83648
cg20718816	LTBP2	latent transforming growth factor beta binding protein 2
cg20720686	POR	P450 (cytochrome) oxidoreductase
cg20721467	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4
cg20723355	FBXO39	F-box protein 39
cg20724073	MLX	transcription factor-like protein 4 isoform gamma
cg20725021	MASP1	mannan-binding lectin serine protease 1 isoform 1 precursor
cg20727114	CPT1C	carnitine palmitoyltransferase 1C
cg20727362	CYB5R3	cytochrome b5 reductase isoform 1
cg20728496	NADSYN1	NAD synthetase 1
cg20728639	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2
cg20731798	LOC119710	hypothetical protein LOC119710
cg20732137	GMEB2	glucocorticoid modulatory element binding protein 2
cg20732367	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1
cg20736065	MSI2	musashi 2 isoform a
cg20737712	TBRG1	transforming growth factor beta regulator 1
cg20739508	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
cg20739510	PEX14	peroxisomal biogenesis factor 14
cg20740029	SLC5A8	solute carrier family 5 (iodide transporter); member 8
cg20743744	CTBP1	C-terminal binding protein 1 isoform 1
cg20744464	MFI2	melanoma-associated antigen p97 isoform 2; precursor
cg20744809	FLJ11171	hypothetical protein LOC55783
cg20747455	MATN4	matrilin 4 isoform 1 precursor
cg20748065	POR	P450 (cytochrome) oxidoreductase
cg20750215	JUNB	jun B proto-oncogene
cg20751395	KCNQ1	potassium voltage-gated channel; KQT-like subfamily; member 1 isoform 1
cg20752438	C9orf127	chromosome 9 open reading frame 127
cg20755353	SSU72	Ssu72 RNA polymerase II CTD phosphatase homolog
cg20757196	TRAF7	ring finger and WD repeat domain 1 isoform 1
cg20757526	DCXR	dicarbonyl/L-xylulose reductase
cg20757758	ZMYND12	zinc finger; MYND domain containing 12
cg20757912	SSBP2	single-stranded DNA binding protein 2
cg20758803	MAGI3	membrane-associated guanylate kinase-related  3 isoform 2
cg20760063	NBR2	hypothetical protein LOC10230
cg20761322	CIB2	DNA-dependent protein kinase catalytic subunit-interacting protein 2
cg20764656	GPX2	gastrointestinal glutathione peroxidase 2
cg20767356	HORMAD1	HORMA domain containing 1
cg20767936	ASNSD1	hypothetical protein LOC54529
cg20768743	CD226	CD226 antigen
cg20769102	POLR2K	DNA directed RNA polymerase II polypeptide K
cg20769774	CYLD	ubiquitin carboxyl-terminal hydrolase CYLD
cg20769842	MKRN3	makorin; ring finger protein; 3
cg20770175	COL3A1	procollagen; type III; alpha 1
cg20770311	SMPD1	sphingomyelin phosphodiesterase 1; acid lysosomal isoform 1 precursor
cg20770803	CNTD	hypothetical protein LOC124817
cg20771670	PHLDA3	pleckstrin homology-like domain; family A; member 3
cg20772904	SHCBP1	SHC SH2-domain binding protein 1
cg20773127	ENPEP	glutamyl aminopeptidase (aminopeptidase A)
cg20774846	DPYS	dihydropyrimidinase
cg20775254	PROM2	prominin 2
cg20775840	G3BP	Ras-GTPase-activating protein SH3-domain-binding protein
cg20775959	ARNT2	aryl hydrocarbon receptor nuclear translocator 2
cg20776317	SNAPC4	small nuclear RNA activating complex; polypeptide 4; 190kDa
cg20777437	CDCP2	hypothetical protein LOC200008
cg20778294	PPRC1	PGC-1 related co-activator
cg20778669	MGMT	O-6-methylguanine-DNA methyltransferase
cg20779414	STAT6	signal transducer and activator of transcription 6
cg20780953	RAB3D	RAB3D; member RAS oncogene family
cg20781140	GPR155	G protein-coupled receptor 155
cg20781967	NINJ2	ninjurin 2
cg20782689	OXA1L	oxidase (cytochrome c) assembly 1-like
cg20784775	ARG99	ARG99 protein isoform 1
cg20785344	PGAM5	Bcl-XL-binding protein v68
cg20786074	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 isoform b
cg20787196	ITPR2	inositol 1;4;5-triphosphate receptor; type 2
cg20788083	VPS33B	vacuolar protein sorting 33B (yeast homolog))
cg20789620	FSD1	fibronectin type III and SPRY domain containing 1
cg20789691	RLN1	relaxin 1 preproprotein
cg20789824	OLFML2A	olfactomedin-like 2A
cg20790056	MGC23244	hypothetical protein LOC126259
cg20790540	PTCRA	pre T-cell antigen receptor alpha
cg20791593	NEU4	sialidase 4
cg20791841	MAN2B1	mannosidase; alpha; class 2B; member 1 precursor
cg20792062	KCNA5	potassium voltage-gated channel; shaker-related subfamily; member 5
cg20792294	IGF2AS	insulin-like growth factor 2 antisense
cg20792833	PTPRCAP	protein tyrosine phosphatase; receptor type; C-associated protein
cg20793071	TMEM59	thymic dendritic cell-derived factor 1
cg20795401	ITGA6	integrin alpha chain; alpha 6
cg20795863	NEU2	sialidase 2
cg20795913	MLX	transcription factor-like protein 4 isoform gamma
cg20797216	FBN3	fibrillin 3 precursor
cg20797699	LIMD2	hypothetical protein LOC80774
cg20797766	PRSS27	marapsin
cg20798152	CART	cocaine- and amphetamine-regulated transcript
cg20801056	MBP	myelin basic protein isoform 3
cg20802051	AK3L1	adenylate kinase 3-like 1
cg20802392	CTSK	cathepsin K preproprotein
cg20803370	PPOX	protoporphyrinogen oxidase
cg20804101	SLC6A13	solute carrier family 6 (neurotransmitter transporter; GABA); member 13
cg20804555	GSC	goosecoid
cg20804821	GPR62	G protein-coupled receptor 62
cg20807545	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif; 18 isoform 2 preproprotein
cg20807701	DNAJB9	DnaJ (Hsp40) homolog; subfamily B; member 9
cg20808145	KLC2	likely ortholog of kinesin light chain 2
cg20811273	FLJ33167	hypothetical protein LOC201973
cg20811389	CDC14B	CDC14 homolog B isoform 1
cg20811607	SMPD2	sphingomyelin phosphodiesterase 2; neutral membrane (neutral sphingomyelinase)
cg20812929	DHRS4L2	dehydrogenase/reductase (SDR family) member 4 like 2
cg20813773	MGC34713	hypothetical protein LOC285600
cg20815063	MRE11A	meiotic recombination 11 homolog A isoform 1
cg20816612	PHKA1	phosphorylase kinase; alpha 1 (muscle)
cg20821095	FADD	Fas-associated via death domain
cg20822579	RIPK3	receptor-interacting serine-threonine kinase 3
cg20822628	GATA5	GATA binding protein 5
cg20824576	CD47	CD47 antigen isoform 1 precursor
cg20825323	IGBP1	immunoglobulin binding protein 1
cg20828084	KIAA1199	KIAA1199
cg20830531	NUDT6	nudix-type motif 6 isoform b
cg20831492	BET1	BET1 homolog
cg20831708	SEC31L2	S. cerevisiae SEC31-like 2 isoform a
cg20832009	STARD8	START domain containing 8
cg20832020	VSIG9	hypothetical protein LOC201633
cg20833786	MRGPRX3	G protein-coupled receptor MRGX3
cg20835282	C3orf62	hypothetical protein LOC375341
cg20837735	SERPINB5	serine (or cysteine) proteinase inhibitor; clade B (ovalbumin); member 5
cg20839025	PRSS7	enterokinase precursor
cg20839149	SH2D2A	SH2 domain protein 2A
cg20839219	SLC39A6	solute carrier family 39 (zinc transporter); member 6
cg20840847	APBA2	amyloid beta A4 precursor protein-binding; family A; member 2
cg20842040	PRPS2	phosphoribosyl pyrophosphate synthetase 2
cg20843052	KIAA1841	KIAA1841 protein
cg20845050	ZNF7	zinc finger protein 7 (KOX 4; clone HF.16)
cg20847746	S100A1	S100 calcium binding protein A1
cg20848130	GJA12	connexin46.6
cg20849549	PTEN	phosphatase and tensin homolog
cg20849987	LUZP4	leucine zipper protein 4
cg20850582	LRBA	LPS-responsive vesicle trafficking; beach and anchor containing
cg20850981	ZNF323	zinc finger protein 323 isoform 1
cg20851097	SPTB	spectrin beta isoform b
cg20851245	RNF25	ring finger protein 25
cg20852286	DHFRL1	hypothetical protein LOC200895
cg20853593	DNPEP	aspartyl aminopeptidase
cg20854748	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase; type I; alpha
cg20855303	REPS2	RALBP1 associated Eps domain containing 2
cg20855344	NR1D2	nuclear receptor subfamily 1; group D; member 2
cg20855565	TRIM58	tripartite motif-containing 58
cg20856064	PH-4	hypoxia-inducible factor prolyl 4-hydroxylase isoform b
cg20856436	RPS27A	ubiquitin and ribosomal protein S27a precursor
cg20856834	OR12D3	olfactory receptor; family 12; subfamily D; member 3
cg20857253	TCP10L	T-complex 10A-2
cg20857455	CPNE8	copine VIII
cg20857947	ASL	argininosuccinate lyase isoform 1
cg20858478	B4GALNT2	UDP-GalNAc:Neu5Acalpha2-3Galbeta-R beta1;4-N-acetylgalactosaminyltransferase
cg20858526	CTRC	chymotrypsin C preproprotein
cg20859470	RPS27	ribosomal protein S27
cg20861607	CHRNA7	cholinergic receptor; nicotinic; alpha polypeptide 7 precursor
cg20862119	KRT2B	cytokeratin 2
cg20862496	SLURP1	ARS component B precursor
cg20864636	GARNL3	GTPase activating Rap/RanGAP domain-like 3
cg20865068	TM9SF2	transmembrane 9 superfamily member 2
cg20866788	ARL1	ADP-ribosylation factor-like 1
cg20867633	GOLT1A	golgi transport 1 homolog A
cg20868410	HBEGF	heparin-binding EGF-like growth factor
cg20869203	LHFPL1	lipoma HMGIC fusion-partner-like
cg20869710	APIP	APAF1 interacting protein
cg20870362	CCIN	calicin
cg20870559	OAS2	2 -5prime-oligoadenylate synthetase 2 isoform 2
cg20872461	RFC4	replication factor C 4
cg20876010	CACHD1	cache domain containing 1
cg20877313	GLS2	glutaminase GA isoform a
cg20878850	AR	androgen receptor isoform 1
cg20879768	TCEB3B	elongin A2
cg20879959	HLA-A	major histocompatibility complex; class I; A precursor
cg20880234	ZNF198	zinc finger protein 198
cg20881054	VASH1	vasohibin 1
cg20881888	ZMYND10	zinc finger; MYND domain-containing 10
cg20881910	HNT	neurotrimin
cg20882852	PKIB	cAMP-dependent protein kinase inhibitor beta
cg20884362	C21orf70	hypothetical protein LOC85395
cg20884697	MANEA	mannosidase; endo-alpha
cg20885089	AMPD2	adenosine monophosphate deaminase 2 (isoform L) isoform 3
cg20886062	DCI	dodecenoyl-Coenzyme A delta isomerase precursor
cg20887241	HTR1D	5-hydroxytryptamine (serotonin) receptor 1D
cg20887455	PHB	prohibitin
cg20888386	CRYBA2	crystallin; beta A2
cg20888907	LETM2	leucine zipper-EF-hand containing transmembrane protein 2
cg20890210	KCNB2	potassium voltage-gated channel; Shab-related subfamily; member 2
cg20891301	MSX1	msh homeo box homolog 1
cg20891917	IFRD1	interferon-related developmental regulator 1
cg20892287	RICS	Rho GTPase-activating protein
cg20893022	C19orf30	hypothetical protein LOC284424
cg20895028	CDH26	cadherin-like 26 isoform a
cg20895877	PRIMA1	proline rich membrane anchor 1
cg20896197	MPHOSPH1	M-phase phosphoprotein 1
cg20897667	PEG3	paternally expressed 3
cg20899053	HLXB9	homeo box HB9
cg20899321	LRRC32	leucine rich repeat containing 32 precursor
cg20900524	PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis; neuronal 1; infantile)
cg20902737	EFTUD2	U5 snRNP-specific protein; 116 kD
cg20903926	C1orf177	hypothetical protein LOC163747
cg20904010	SYN3	synapsin III isoform IIIa
cg20904141	MRPL45	mitochondrial ribosomal protein L45
cg20906802	OPN5	opsin 5 isoform 1
cg20907471	PAX1	paired box gene 1
cg20908204	DMPK	myotonic dystrophy protein kinase
cg20908993	ATP6V1D	H(+)-transporting two-sector ATPase
cg20909686	OVOL1	OVO-like 1 binding protein
cg20910436	P4HA1	prolyl 4-hydroxylase; alpha I subunit isoform 1 precursor
cg20910746	BBOX1	gamma-butyrobetaine hydroxylase
cg20913782	LOC113444	hypothetical protein LOC113444
cg20914508	GAP43	growth associated protein 43
cg20916483	C11orf56	hypothetical protein LOC84067
cg20916523	VHL	von Hippel-Lindau tumor suppressor isoform 1
cg20917484	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
cg20918903	JMJD1A	jumonji domain containing 1A
cg20919133	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3 isoform 1
cg20919556	CNKSR3	CNKSR family member 3
cg20919799	CDKN1C	cyclin-dependent kinase inhibitor 1C
cg20922422	PCYT1B	phosphate cytidylyltransferase 1; choline; beta
cg20923575	MTMR4	myotubularin related protein 4
cg20924286	CLDN11	claudin 11
cg20925178	CWF19L1	CWF19-like 1; cell cycle control
cg20925482	C20orf111	oxidative stress responsive 1
cg20925811	MMP9	matrix metalloproteinase 9 preproprotein
cg20925954	DUSP5	dual specificity phosphatase 5
cg20925955	TIAM2	T-cell lymphoma invasion and metastasis 2 isoform a
cg20927059	TFCP2	transcription factor CP2
cg20930618	VPS72	transcription factor-like 1
cg20931907	LOC340602	hypothetical protein LOC340602
cg20932053	CPM	carboxypeptidase M precursor
cg20932765	TRIM33	tripartite motif-containing 33 protein isoform alpha
cg20935106	TAPBPL	TAP binding protein-like
cg20937139	PDGFC	platelet-derived growth factor C precursor
cg20938286	CLDND1	hypothetical protein LOC56650
cg20938359	SLC6A12	solute carrier family 6 (neurotransmitter transporter; betaine/GABA); member 12
cg20938689	COX7C	cytochrome c oxidase subunit VIIc precursor
cg20939319	TEX15	testis expressed sequence 15
cg20940661	KCNS3	potassium voltage-gated channel delayed-rectifier protein S3
cg20945531	FLJ34503	hypothetical protein LOC285759
cg20947775	SCD5	stearoyl-CoA desaturase 4 isoform b
cg20948472	ZMAT2	zinc finger; matrin type 2
cg20950011	CIDEA	cell death-inducing DFFA-like effector a isoform 1
cg20950277	TNIP3	hypothetical protein LOC79931
cg20951444	FNDC5	fibronectin type III domain containing 5
cg20951539	PXT1	peroxisomal; testis specific 1
cg20951726	MTMR9	myotubularin-related protein 9
cg20951821	ENC1	ectodermal-neural cortex (with BTB-like domain)
cg20953047	PIGR	polymeric immunoglobulin receptor
cg20955688	TMEM71	hypothetical protein LOC137835
cg20955831	LRRC16	leucine rich repeat containing 16
cg20956314	XYLB	xylulokinase homolog
cg20956373	USP48	ubiquitin specific protease 48 isoform a
cg20957193	ZNRF1	zinc and ring finger protein 1
cg20959523	FIGN	fidgetin
cg20959866	AJAP1	transmembrane protein SHREW1
cg20964758	COVA1	cytosolic ovarian carcinoma antigen 1 isoform b
cg20965815	DPCR1	diffuse panbronchiolitis critical region 1 protein
cg20966551	MAST1	microtubule associated serine/threonine kinase 1
cg20966972	MYST3	MYST histone acetyltransferase (monocytic leukemia) 3
cg20967028	ART4	ADP-ribosyltransferase 4 precursor
cg20967220	GCM1	glial cells missing homolog a
cg20969242	GON4	hypothetical protein LOC54856
cg20969846	DIDO1	death inducer-obliterator 1 isoform a
cg20970875	ANKRD47	ankyrin repeat domain 47
cg20972214	SLC2A3	solute carrier family 2 (facilitated glucose transporter); member 3
cg20972416	XLF	XRCC4-like factor
cg20972495	SEC22L3	vesicle trafficking protein isoform a
cg20972543	HERC3	hect domain and RLD 3
cg20972553	JDP2	Jun dimerization protein
cg20973210	C19orf35	hypothetical protein LOC374872
cg20974196	CFD	complement factor D preproprotein
cg20975478	CCDC24	coiled-coil domain containing 24
cg20977411	PMVK	phosphomevalonate kinase
cg20977864	HYDIN	hydrocephalus inducing
cg20979602	PAPD4	PAP associated domain containing 4
cg20979799	RFXDC1	regulatory factor X domain containing 1
cg20979896	PDRG1	p53 and DNA damage-regulated protein
cg20980592	MEP1A	meprin A; alpha (PABA peptide hydrolase)
cg20981615	TXK	TXK tyrosine kinase
cg20981893	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2
cg20982583	POLR2F	DNA directed RNA polymerase II polypeptide F
cg20985014	WISP3	WNT1 inducible signaling pathway protein 3 isoform 1
cg20986134	LMNB1	lamin B1
cg20987610	CDH17	cadherin 17 precursor
cg20988616	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3
cg20988728	MGC17330	HGFL protein
cg20991095	USP49	ubiquitin specific protease 49
cg20991801	CDC2L5	cell division cycle 2-like 5 isoform 1
cg20993403	EPB41L1	erythrocyte membrane protein band 4.1-like 1 isoform a
cg20994561	BAI1	brain-specific angiogenesis inhibitor 1 precursor
cg20994801	PIK3CD	phosphoinositide-3-kinase; catalytic; delta polypeptide
cg20998885	C20orf79	hypothetical protein LOC140856
cg20999813	USP10	ubiquitin specific protease 10
cg20999934	NFX1	nuclear transcription factor; X-box binding 1 isoform 1
cg21000021	MYBBP1A	MYB binding protein 1a
cg21003606	CALN1	calneuron 1
cg21004129	IL8RA	interleukin 8 receptor alpha
cg21006686	NOS1	nitric oxide synthase 1 (neuronal)
cg21008709	SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2
cg21008828	TNK2	tyrosine kinase; non-receptor; 2 isoform 2
cg21010050	TBC1D23	hypothetical protein LOC55773
cg21010197	CDCA8	cell division cycle associated 8
cg21010262	MRPS2	mitochondrial ribosomal protein S2
cg21011830	RPL18A	ribosomal protein L18a
cg21012874	SNCG	synuclein; gamma (breast cancer-specific protein 1)
cg21016177	EXOC7	exocyst complex component 7 isoform b
cg21017752	PPP1R3C	protein phosphatase 1; regulatory (inhibitor) subunit 3C
cg21019522	SLC22A18	tumor suppressing subtransferable candidate 5
cg21019820	DALRD3	DALR anticodon binding domain containing 3 isoform 1
cg21020082	C2orf24	hypothetical protein LOC27013
cg21020710	ZNF544	zinc finger protein 544
cg21021629	NRIP1	receptor interacting protein 140
cg21022247	BIN2	bridging integrator 2
cg21022395	SHOC2	soc-2 suppressor of clear homolog
cg21022435	NFRKB	nuclear factor related to kappaB binding protein
cg21023001	C1QR1	complement component 1; q subcomponent; receptor 1
cg21023114	IFNA14	interferon; alpha 14
cg21023770	C20orf165	chromosome 20 open reading frame 165
cg21024145	RPS15A	ribosomal protein S15a
cg21024391	GLMN	glomulin isoform FAP68
cg21026663	HIST1H4D	H4 histone family; member B
cg21028326	TUBGCP6	tubulin; gamma complex associated protein 6 isoform b
cg21029904	ZNF91	zinc finger protein 91
cg21030400	MKNK2	MAP kinase-interacting serine/threonine kinase 2 isoform 2
cg21030483	FAM11A	family with sequence similarity 11; member A
cg21030598	PAK2	p21-activated kinase 2
cg21032203	ZNF265	zinc finger protein 265 isoform 2
cg21032583	LMLN	leishmanolysin-like (metallopeptidase M8 family)
cg21033494	MSMB	beta-microseminoprotein isoform a precursor
cg21033855	ZNF690	zinc finger protein 690
cg21034676	TGFBI	transforming growth factor; beta-induced; 68kDa
cg21035142	CRYGN	gammaN-crystallin variant
cg21037570	IMMT	inner membrane protein; mitochondrial
cg21038229	HMOX2	heme oxygenase (decyclizing) 2
cg21038703	ASB16	ankyrin repeat and SOCS box-containing protein 16
cg21038964	DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3 isoform 1
cg21039631	CD58	CD58 antigen; (lymphocyte function-associated antigen 3)
cg21039679	FLJ35695	hypothetical protein LOC400359
cg21039822	PCYT2	phosphate cytidylyltransferase 2; ethanolamine
cg21041127	BCMP11	breast cancer membrane protein 11
cg21042619	EED	embryonic ectoderm development isoform a
cg21043558	BRAF	v-raf murine sarcoma viral oncogene homolog B1
cg21043754	DDB1	damage-specific DNA binding protein 1
cg21044104	LYZL4	lysozyme-like 4
cg21045388	FLJ43806	hypothetical protein LOC399563
cg21045917	ALAS2	aminolevulinate; delta-; synthase 2
cg21046413	PDCD8	programmed cell death 8 isoform 1
cg21046940	DAP	death-associated protein
cg21047206	PDE4DIP	phosphodiesterase 4D interacting protein isoform 2
cg21048501	MRPS24	mitochondrial ribosomal protein S24
cg21048669	CLEC3A	C-type lectin domain family 3 member A
cg21049762	TCIRG1	T-cell; immune regulator 1 isoform a
cg21051046	EN2	engrailed homolog 2
cg21051086	PPP4R2	protein phosphatase 4; regulatory subunit 2
cg21051423	MTBP	Mdm2; transformed 3T3 cell double minute 2; p53 binding protein binding protein
cg21052164	CHRNB2	cholinergic receptor; nicotinic; beta polypeptide 2 (neuronal)
cg21053015	SYNGR1	synaptogyrin 1 isoform 1c
cg21053323	SUMO3	small ubiquitin-like modifier protein 3
cg21053529	CX36	connexin-36
cg21053748	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex; 4; 9kDa
cg21057046	NBL1	neuroblastoma; suppression of tumorigenicity 1 precursor
cg21057494	CLEC3B	C-type lectin domain family 3; member B
cg21060429	NUDT1	nudix-type motif 1 isoform p18
cg21060854	TOR1B	torsin family 1; member B (torsin B)
cg21061811	DDA1	hypothetical protein LOC79016
cg21062347	SLC22A8	solute carrier family 22 member 8
cg21063899	SCEL	sciellin isoform a
cg21065959	LCE1E	late cornified envelope 1E
cg21065990	TASP1	taspase 1
cg21066636	TM4SF5	transmembrane 4 superfamily member 5
cg21067846	MORC4	zinc finger; CW type with coiled-coil domain 2
cg21068030	LSMD1	LSM domain containing 1
cg21068152	SIRT4	sirtuin 4
cg21068339	DSP	desmoplakin isoform I
cg21069922	ERAL1	Era G-protein-like 1
cg21070087	HECW1	NEDD4-like ubiquitin-protein ligase 1
cg21070730	EHD4	EH-domain containing 4
cg21072025	GNG8	guanine nucleotide binding protein (G protein); gamma 8
cg21073927	GATA4	GATA binding protein 4
cg21075829	FAM62C	family with sequence similarity 62 (C2 domain containing); member C
cg21076470	MRPS14	mitochondrial ribosomal protein S14
cg21080294	PRPS1	phosphoribosyl pyrophosphate synthetase 1
cg21081852	TXNRD1	thioredoxin reductase 1
cg21081971	TRPC4	transient receptor potential 4
cg21084260	APOD	apolipoprotein D precursor
cg21085553	PARP8	poly (ADP-ribose) polymerase family; member 8
cg21085625	DBI	diazepam binding inhibitor
cg21085768	PRSS21	testisin isoform 2
cg21086464	PAK1	p21-activated kinase 1
cg21087043	DCX	doublecortin isoform c
cg21087137	MGC26856	hypothetical protein LOC256710
cg21087701	GPR119	G-protein coupled receptor 2
cg21089667	SMARCA3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin a3
cg21090723	CXorf45	hypothetical protein LOC79868
cg21091629	FRAG1	FGF receptor activating protein 1
cg21091679	ELL2	elongation factor; RNA polymerase II; 2
cg21092324	MMRN1	multimerin 1
cg21092462	KCNH1	potassium voltage-gated channel; subfamily H; member 1 isoform 2
cg21092687	RECQL4	RecQ protein-like 4
cg21093060	TXLNA	taxilin
cg21094154	TNFSF11	tumor necrosis factor ligand superfamily; member 11 isoform 1
cg21094669	GLRA3	glycine receptor; alpha 3
cg21096399	MCAM	melanoma cell adhesion molecule
cg21096502	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2
cg21096591	TP53TG3	hypothetical protein LOC24150 isoform 1
cg21096915	MGC16291	hypothetical protein LOC84856
cg21096966	BTBD5	BTB (POZ) domain containing 5
cg21097640	MGC9850	hypothetical protein MGC9850
cg21098323	OSCAR	osteoclast-associated receptor isoform 3
cg21099221	SRM	spermidine synthase
cg21099326	TRIM35	tripartite motif-containing 35 isoform 2
cg21099488	PELI2	pellino 2
cg21101222	ATOX1	antioxidant protein 1
cg21104946	WNT7B	wingless-type MMTV integration site family; member 7B precursor
cg21105318	ITGB6	integrin; beta 6
cg21109025	CCL2	small inducible cytokine A2 precursor
cg21111471	FLRT1	fibronectin leucine rich transmembrane protein 1
cg21111868	EGR4	early growth response 4
cg21112925	CES2	carboxylesterase 2 isoform 1
cg21114485	FLJ11200	hypothetical protein LOC55325
cg21115977	GDF2	growth differentiation factor 2
cg21115990	LRP5	low density lipoprotein receptor-related protein 5
cg21116314	ZNF266	zinc finger protein 266
cg21116410	PEX12	peroxisomal biogenesis factor 12
cg21117584	SNIP1	Smad nuclear interacting protein
cg21119032	LANCL1	lanthionine synthetase C-like protein 1
cg21120063	UNQ830	hypothetical protein LOC389084
cg21120249	FLJ36268	hypothetical protein LOC401563
cg21120786	SCAP2	src family associated phosphoprotein 2
cg21122529	CHERP	calcium homeostasis endoplasmic reticulum protein
cg21122774	SARDH	sarcosine dehydrogenase
cg21123509	POLD2	polymerase (DNA directed); delta 2; regulatory subunit
cg21123573	SIRT4	sirtuin 4
cg21126707	MYF5	myogenic factor 5
cg21126943	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
cg21129531	LRRC4	netrin-G1 ligand
cg21130124	CALML5	calmodulin-like skin protein
cg21130374	MX2	myxovirus resistance protein 2
cg21132104	SPATA5L1	spermatogenesis associated 5-like 1
cg21132577	MYOM2	myomesin 2
cg21134096	RHEB	Ras homolog enriched in brain
cg21137417	SPP2	secreted phosphoprotein 2; 24kDa
cg21137706	TMEM5	transmembrane protein 5
cg21137707	PNMA5	hypothetical protein LOC114824
